Year,job_title,experience_level,employment_type,salary,salary_currency,salary_in_usd,company_location,employee_residence,% Remote_work,company_size
2023,Machine Learning Engineer,Senior/Expert,Full-time,287500,USD,287500,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,212500,USD,212500,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,190027,USD,190027,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,152022,USD,152022,US,US,0,Medium
2023,Data Scientist,Entry/Junior,Full-time,18000,EUR,19434,GR,GR,100,Large
2023,Data Engineer,Mid/Intermediate,Full-time,100000,USD,100000,US,US,100,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,250000,USD,250000,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,125000,USD,125000,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,131000,USD,131000,CO,CO,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,88000,USD,88000,CO,CO,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,198000,USD,198000,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,132000,USD,132000,US,US,100,Medium
2023,Business Intelligence Engineer,Senior/Expert,Full-time,125000,USD,125000,US,US,100,Medium
2023,Business Intelligence Engineer,Senior/Expert,Full-time,115000,USD,115000,US,US,100,Medium
2023,Data Manager,Senior/Expert,Full-time,145000,USD,145000,US,US,0,Medium
2023,Data Manager,Senior/Expert,Full-time,130000,USD,130000,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,170700,USD,170700,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,113900,USD,113900,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,280000,USD,280000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,185000,USD,185000,US,US,0,Large
2023,Data Engineer,Senior/Expert,Full-time,81000,USD,81000,US,US,0,Large
2023,Data Scientist,Senior/Expert,Full-time,185000,USD,185000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,123000,USD,123000,US,US,0,Medium
2023,Data Manager,Executive/Director,Full-time,80000,USD,80000,US,US,0,Medium
2023,Data Manager,Executive/Director,Full-time,75000,USD,75000,US,US,0,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,53000,USD,53000,US,US,100,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,48000,USD,48000,US,US,100,Medium
2023,Analytics Engineer,Mid/Intermediate,Full-time,300000,GBP,369120,GB,GB,0,Medium
2023,Analytics Engineer,Mid/Intermediate,Full-time,60000,GBP,73824,GB,GB,0,Medium
2023,Data Scientist,Mid/Intermediate,Full-time,150000,USD,150000,US,US,0,Medium
2023,Data Scientist,Mid/Intermediate,Full-time,125000,USD,125000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,150000,USD,150000,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,190000,USD,190000,US,US,0,Medium
